iter	Passed	Remaining
261	273	769
262	274	768
263	275	767
264	276	766
265	277	765
266	278	764
267	279	762
268	280	761
269	281	760
270	282	758
271	283	757
272	284	756
273	285	755
274	286	755
275	287	754
276	288	752
277	289	751
278	290	749
279	291	748
280	292	747
281	293	746
282	294	745
283	295	743
284	295	741
285	296	740
286	297	739
287	298	737
288	298	735
289	299	734
290	300	732
291	301	731
292	302	730
293	303	729
294	304	728
295	305	727
296	306	726
297	307	724
298	308	723
299	309	722
300	310	721
301	311	720
302	312	719
303	313	718
304	314	717
305	315	715
306	316	714
307	317	712
308	317	711
309	319	711
310	320	710
311	321	709
312	322	708
313	323	707
314	324	706
315	325	705
316	326	704
317	327	702
318	328	701
319	329	700
320	330	699
321	331	698
322	332	697
323	333	696
324	334	694
325	335	693
326	336	692
327	337	691
328	338	690
329	338	688
330	339	687
331	340	685
332	341	684
333	342	683
334	343	682
335	345	682
336	346	681
337	354	694
338	374	729
339	375	729
340	376	728
341	381	734
342	383	734
343	384	733
344	386	734
345	394	745
346	396	747
347	398	746
348	400	747
349	403	748
350	405	748
351	427	786
352	429	787
353	431	787
354	460	837
355	462	836
356	465	837
357	466	836
358	467	834
359	468	833
360	469	831
361	471	830
362	473	830
363	475	830
364	478	833
365	482	835
366	485	837
367	497	853
368	499	853
369	501	853
370	503	854
371	506	855
372	508	855
373	509	852
374	510	851
375	511	849
376	513	848
377	514	847
378	516	846
379	517	844
380	519	843
381	521	843
382	522	842
383	525	842
384	527	841
385	530	844
386	532	842
387	533	840
388	534	839
389	538	841
390	539	839
391	540	838
392	541	836
393	542	834
394	543	832
395	544	830
396	546	829
397	546	826
398	547	824
399	548	823
400	549	821
401	550	818
402	551	817
403	553	816
404	554	814
405	555	812
406	556	810
407	557	809
408	558	807
409	559	805
410	560	803
411	562	802
412	563	800
413	564	798
414	565	797
415	566	795
416	567	793
417	568	792
418	569	790
419	571	788
420	572	787
421	573	785
422	574	783
423	575	782
424	577	780
425	580	781
426	581	779
427	582	778
428	584	778
429	586	777
430	588	777
431	590	776
432	591	774
433	594	774
434	596	774
435	598	773
436	599	772
437	606	777
438	608	777
439	610	776
440	613	777
441	617	779
442	618	778
443	620	776
444	625	779
445	626	777
446	627	776
447	628	774
448	634	778
449	635	777
450	637	775
451	640	776
452	642	775
453	643	773
454	646	774
455	647	772
456	650	772
457	652	772
458	655	772
459	656	771
460	658	770
461	660	769
462	669	776
463	671	775
464	676	778
465	678	777
466	680	777
467	682	775
468	684	774
469	690	778
470	707	794
471	709	793
472	711	792
473	713	792
474	725	802
475	727	800
476	729	799
477	733	801
478	735	799
479	743	805
480	745	804
481	752	808
482	755	809
483	766	817
484	769	816
485	771	815
486	773	815
487	776	815
488	780	815
489	792	825
490	794	824
491	797	823
492	807	830
493	809	828
494	811	827
495	812	826
496	815	824
497	823	830
498	826	829
499	836	836
500	839	836
501	841	834
502	843	833
503	849	835
504	850	833
505	851	831
506	875	850
507	877	849
508	879	847
509	880	846
510	885	847
511	889	847
512	895	850
513	897	848
514	900	847
515	903	847
516	905	846
517	918	854
518	920	852
519	922	851
520	923	849
521	934	855
522	936	853
523	937	851
524	939	849
525	950	856
526	953	855
527	955	854
528	957	852
529	962	853
530	963	851
531	965	849
532	976	855
533	978	853
534	979	851
535	981	849
536	984	849
537	987	848
538	990	847
539	994	846
540	994	844
541	995	841
542	998	840
543	1011	848
544	1013	845
545	1014	843
546	1015	840
547	1017	839
548	1018	837
549	1020	834
550	1021	832
551	1022	829
552	1023	827
553	1025	825
554	1026	822
555	1027	820
556	1028	817
557	1029	815
558	1030	813
559	1032	810
560	1033	808
561	1036	807
562	1038	805
563	1039	803
564	1040	801
565	1041	798
566	1042	796
567	1043	793
568	1045	791
569	1046	789
570	1047	787
571	1048	784
572	1049	782
573	1050	779
574	1051	777
575	1052	774
576	1053	771
577	1054	769
578	1055	767
579	1055	764
580	1057	762
581	1058	759
582	1059	757
583	1059	754
584	1060	752
585	1061	749
586	1062	747
587	1063	744
588	1064	742
589	1065	740
590	1066	737
591	1067	735
592	1068	733
593	1069	731
594	1070	728
595	1071	726
596	1073	724
597	1074	722
598	1075	719
599	1076	717
600	1077	715
601	1078	713
602	1079	710
603	1080	708
604	1081	706
605	1082	703
606	1083	701
607	1084	699
608	1085	697
609	1086	694
610	1087	692
611	1088	690
612	1089	687
613	1090	685
614	1091	683
615	1092	681
616	1093	679
617	1094	676
618	1095	674
619	1096	672
620	1097	669
621	1098	667
622	1099	665
623	1100	663
624	1101	660
625	1102	658
626	1103	656
627	1104	654
628	1105	651
629	1106	649
630	1106	647
631	1107	645
632	1108	642
633	1109	640
634	1111	638
635	1112	636
636	1112	634
637	1113	632
638	1114	629
639	1115	627
640	1117	625
641	1117	623
642	1118	621
643	1119	618
644	1120	616
645	1121	614
646	1122	612
647	1123	610
648	1124	608
649	1124	605
650	1125	603
651	1126	601
652	1127	599
653	1128	597
654	1129	595
655	1130	592
656	1131	590
657	1132	588
658	1133	586
659	1134	584
660	1135	582
661	1136	580
662	1137	578
663	1139	576
664	1140	574
665	1141	572
666	1142	570
667	1143	568
668	1148	568
669	1149	566
670	1150	564
671	1151	562
672	1153	560
673	1154	558
674	1154	555
675	1155	554
676	1157	552
677	1158	550
678	1159	548
679	1160	546
680	1161	544
681	1162	542
682	1164	540
683	1165	538
684	1166	536
685	1167	534
686	1168	532
687	1169	530
688	1170	528
689	1171	526
690	1172	524
691	1173	522
692	1174	520
693	1175	518
694	1176	516
695	1177	514
696	1178	512
697	1179	510
698	1180	508
699	1182	506
700	1183	504
701	1184	502
702	1185	500
703	1186	498
704	1189	497
705	1190	495
706	1191	493
707	1193	492
708	1194	490
709	1195	488
710	1196	486
711	1197	484
712	1198	482
713	1199	480
714	1200	478
715	1201	476
716	1202	474
717	1203	472
718	1204	470
719	1206	469
720	1207	467
721	1208	465
722	1209	463
723	1210	461
724	1211	459
725	1212	457
726	1213	455
727	1215	453
728	1218	452
729	1219	451
730	1220	449
731	1221	447
732	1222	445
733	1223	443
734	1224	441
735	1225	439
736	1226	437
737	1227	435
738	1228	433
739	1229	432
740	1230	430
741	1233	428
742	1234	427
743	1235	425
744	1236	423
745	1237	421
746	1239	419
747	1240	417
748	1241	415
749	1242	414
750	1242	412
751	1243	410
752	1244	408
753	1245	406
754	1246	404
755	1247	402
756	1248	400
757	1249	398
758	1250	396
759	1250	395
760	1251	393
761	1252	391
762	1253	389
763	1254	387
764	1255	385
765	1256	383
766	1258	382
767	1259	380
768	1260	378
769	1261	376
770	1262	375
771	1263	373
772	1264	371
773	1265	369
774	1267	368
775	1268	366
776	1269	364
777	1270	362
778	1271	360
779	1272	359
780	1273	357
781	1274	355
782	1275	353
783	1276	351
784	1277	349
785	1278	348
786	1279	346
787	1280	344
788	1281	342
789	1281	340
790	1282	338
791	1283	337
792	1284	335
793	1285	333
794	1286	331
795	1287	330
796	1288	328
797	1289	326
798	1290	324
799	1291	322
800	1292	321
801	1293	319
802	1294	317
803	1295	315
804	1296	314
805	1297	312
806	1298	310
807	1299	308
808	1300	307
809	1301	305
810	1302	303
811	1302	301
812	1303	299
813	1304	298
814	1306	296
815	1307	294
816	1308	293
817	1309	291
818	1310	289
819	1311	287
820	1312	286
821	1313	284
822	1314	282
823	1315	280
824	1316	279
825	1317	277
826	1318	275
827	1319	274
828	1320	272
829	1321	270
830	1322	268
831	1322	267
832	1323	265
833	1325	263
834	1326	262
835	1326	260
836	1327	258
837	1328	256
838	1330	255
839	1331	253
840	1333	252
841	1334	250
842	1335	248
843	1336	246
844	1337	245
845	1338	243
846	1339	241
847	1340	240
848	1341	238
849	1342	236
850	1343	235
851	1344	233
852	1345	231
853	1346	230
854	1347	228
855	1348	226
856	1349	225
857	1350	223
858	1351	221
859	1353	220
860	1354	218
861	1356	217
862	1357	215
863	1358	213
864	1359	212
865	1360	210
866	1362	209
867	1363	207
868	1364	205
869	1365	204
870	1366	202
871	1368	200
872	1369	199
873	1370	197
874	1371	195
875	1372	194
876	1373	192
877	1374	191
878	1375	189
879	1376	187
880	1377	186
881	1378	184
882	1379	182
883	1380	181
884	1381	179
885	1383	177
886	1384	176
887	1384	174
888	1385	173
889	1387	171
890	1388	169
891	1388	168
892	1389	166
893	1390	164
894	1391	163
895	1392	161
896	1393	160
897	1394	158
898	1395	156
899	1396	155
900	1397	153
901	1398	151
902	1399	150
903	1400	148
904	1401	147
905	1402	145
906	1403	143
907	1404	142
908	1405	140
909	1406	139
910	1407	137
911	1408	135
912	1409	134
913	1410	132
914	1411	131
915	1412	129
916	1413	127
917	1414	126
918	1415	124
919	1416	123
920	1417	121
921	1418	120
922	1419	118
923	1420	116
924	1421	115
925	1422	113
926	1423	112
927	1424	110
928	1425	108
929	1426	107
930	1427	105
931	1428	104
932	1429	102
933	1430	101
934	1431	99
935	1432	97
936	1434	96
937	1440	95
938	1441	93
939	1442	92
940	1454	91
941	1456	89
942	1462	88
943	1465	86
944	1472	85
945	1477	84
946	1487	83
947	1489	81
948	1491	80
949	1496	78
950	1501	77
951	1503	75
952	1505	74
953	1508	72
954	1517	71
955	1525	70
956	1527	68
957	1530	67
958	1541	65
959	1546	64
960	1548	62
961	1550	61
962	1556	59
963	1557	58
964	1559	56
965	1564	55
966	1566	53
967	1567	51
968	1569	50
969	1571	48
970	1572	46
971	1574	45
972	1576	43
973	1577	42
974	1579	40
975	1580	38
976	1581	37
977	1583	35
978	1584	33
979	1586	32
980	1587	30
981	1589	29
982	1591	27
983	1594	25
984	1596	24
985	1598	22
986	1601	21
987	1603	19
988	1606	17
989	1608	16
990	1610	14
991	1613	13
992	1615	11
993	1617	9
994	1619	8
995	1620	6
996	1622	4
997	1624	3
998	1625	1
999	1629	0
