iter	Passed	Remaining
0	1	1317
1	2	1237
2	3	1186
3	4	1147
4	5	1116
5	6	1092
6	7	1079
7	8	1067
8	9	1061
9	10	1049
10	11	1037
11	12	1035
12	13	1031
13	14	1030
14	15	1018
15	16	1012
16	17	1017
17	18	1017
18	19	1016
19	20	1028
20	21	1023
21	22	1017
22	23	1017
23	25	1016
24	26	1015
25	26	1004
26	27	1001
27	28	996
28	29	998
29	30	997
30	31	981
31	32	981
32	33	978
33	34	981
34	35	977
35	36	974
36	37	974
37	38	973
38	39	970
39	40	967
40	41	966
41	42	964
42	43	964
43	43	951
44	44	952
45	45	949
46	46	944
47	47	945
48	48	945
49	49	944
50	50	945
51	51	944
52	52	943
53	53	932
54	54	932
55	55	928
56	56	928
57	56	925
58	57	923
59	59	938
60	61	940
61	63	958
62	64	957
63	65	958
64	66	958
65	67	957
66	68	957
67	69	956
68	70	955
69	71	954
70	72	953
71	73	952
72	74	951
73	75	949
74	76	947
75	77	945
76	78	945
77	79	944
78	80	942
79	81	940
80	82	939
81	83	938
82	84	935
83	85	928
84	86	928
85	87	927
86	88	926
87	89	925
88	90	924
89	91	925
90	92	925
91	93	925
92	94	924
93	96	925
94	97	925
95	98	924
96	99	923
97	100	922
98	101	921
99	102	921
100	103	920
101	104	919
102	105	918
103	106	917
104	107	917
105	108	916
106	109	914
107	110	913
108	111	912
109	112	910
110	113	909
111	114	909
112	115	905
113	116	902
114	117	904
115	118	903
116	119	902
117	120	900
118	121	896
119	122	896
120	123	896
121	125	901
122	131	934
123	132	933
124	133	932
125	134	930
126	135	929
127	136	927
128	137	926
129	138	924
130	139	923
131	140	922
132	140	917
133	141	915
134	142	914
135	143	913
136	144	912
137	146	913
138	147	911
139	148	910
140	149	908
141	150	906
142	151	905
143	152	903
144	153	907
145	154	904
146	155	903
147	156	901
148	157	900
149	158	899
150	159	898
151	161	901
152	163	902
153	164	901
154	165	900
155	166	899
156	167	897
157	168	896
158	169	895
159	170	894
160	171	893
161	172	891
162	173	890
163	174	887
164	175	889
165	176	887
166	177	886
167	178	886
168	179	884
169	180	883
170	181	882
171	183	881
172	184	879
173	185	878
174	186	877
175	187	875
176	188	874
177	189	873
178	190	871
179	191	870
180	192	869
181	193	867
182	194	866
183	195	866
184	196	865
185	197	862
186	198	860
187	198	859
188	200	858
189	201	857
190	201	854
191	202	853
192	203	852
193	204	850
194	205	849
195	206	848
196	207	846
197	208	845
198	209	844
199	210	842
200	211	842
201	212	840
202	213	839
203	215	842
204	216	840
205	217	839
206	218	838
207	220	837
208	221	836
209	222	835
210	223	834
211	224	834
212	225	833
213	226	832
214	227	830
215	228	829
216	229	828
217	230	827
218	231	825
219	232	824
220	233	822
221	234	821
222	235	820
223	236	819
224	237	816
225	238	815
226	239	814
227	240	814
228	241	813
229	242	812
230	243	810
231	244	809
232	245	808
233	246	807
234	247	805
235	248	804
236	249	802
237	250	801
238	251	800
239	252	799
240	253	797
241	254	796
242	254	793
243	255	792
244	256	791
245	257	790
246	259	789
247	259	787
248	260	786
249	261	784
250	262	783
251	263	782
252	264	782
253	265	779
254	266	778
255	267	777
256	268	775
257	269	774
258	270	773
259	270	770
260	272	771
