fecha,value
2001-01-01,234983
2001-02-01,222555
2001-03-01,251494
2001-04-01,212260
2001-05-01,243094
2001-06-01,231296
2001-07-01,204576
2001-08-01,144928
2001-09-01,206129
2001-10-01,252674
2001-11-01,237076
2001-12-01,221361
2002-01-01,229897
2002-02-01,221193
2002-03-01,221149
2002-04-01,243355
2002-05-01,240007
2002-06-01,221209
2002-07-01,213590
2002-08-01,147207
2002-09-01,213424
2002-10-01,263708
2002-11-01,240541
2002-12-01,226813
2003-01-01,234411
2003-02-01,226331
2003-03-01,247990
2003-04-01,230684
2003-05-01,247768
2003-06-01,233378
2003-07-01,218215
2003-08-01,150535
2003-09-01,219282
2003-10-01,265702
2003-11-01,245256
2003-12-01,236913
2004-01-01,236854
2004-02-01,234627
2004-03-01,258549
2004-04-01,229442
2004-05-01,253868
2004-06-01,243664
2004-07-01,219726
2004-08-01,156686
2004-09-01,230520
2004-10-01,252700
2004-11-01,253562
2004-12-01,238012
2005-01-01,244454
2005-02-01,241730
2005-03-01,252337
2005-04-01,264093
2005-05-01,267973
2005-06-01,261578
2005-07-01,220452
2005-08-01,180962
2005-09-01,240814
2005-10-01,264887
2005-11-01,263077
2005-12-01,247310
2006-01-01,252603
2006-02-01,245620
2006-03-01,277537
2006-04-01,238854
2006-05-01,274418
2006-06-01,263761
2006-07-01,232798
2006-08-01,183357
2006-09-01,243711
2006-10-01,274666
2006-11-01,268594
2006-12-01,247437
2007-01-01,261191
2007-02-01,251201
2007-03-01,284608
2007-04-01,245426
2007-05-01,278764
2007-06-01,265700
2007-07-01,242976
2007-08-01,186041
2007-09-01,240609
2007-10-01,284545
2007-11-01,269952
2007-12-01,246775
2008-01-01,268603
2008-02-01,262025
2008-03-01,245240
2008-04-01,274044
2008-05-01,263760
2008-06-01,256886
2008-07-01,246505
2008-08-01,180374
2008-09-01,241924
2008-10-01,280608
2008-11-01,259469
2008-12-01,248605
2009-01-01,246607
2009-02-01,243560
2009-03-01,266232
2009-04-01,242420
2009-05-01,257860
2009-06-01,254236
2009-07-01,239824
2009-08-01,173839
2009-09-01,237527
2009-10-01,265889
2009-11-01,255611
2009-12-01,244222
2010-01-01,236763
2010-02-01,240908
2010-03-01,269781
2010-04-01,251385
2010-05-01,266271
2010-06-01,249170
2010-07-01,229428
2010-08-01,172384
2010-09-01,236829
2010-10-01,259947
2010-11-01,258273
2010-12-01,244418
2011-01-01,242930
2011-02-01,243289
2011-03-01,275785
2011-04-01,242166
2011-05-01,270144
2011-06-01,252454
2011-07-01,223857
2011-08-01,180569
2011-09-01,240144
2011-10-01,260567
2011-11-01,256902
2011-12-01,243685
2012-01-01,246278
2012-02-01,244995
2012-03-01,261949
2012-04-01,229982
2012-05-01,257260
2012-06-01,241904
2012-07-01,216498
2012-08-01,164490
2012-09-01,217549
2012-10-01,254624
2012-11-01,232965
2012-12-01,219986
2013-01-01,233027
2013-02-01,223352
2013-03-01,227389
2013-04-01,246124
2013-05-01,246638
2013-06-01,228233
2013-07-01,214527
2013-08-01,156772
2013-09-01,218230
2013-10-01,258509
2013-11-01,236337
2013-12-01,224536
